Rep	State
1. Bradley Byrne (R)	AL
2. Martha Roby (R)	AL
3. Mike Rogers (R)	AL
4. Robert Aderholt (R)	AL
5. Mo Brooks (R)	AL
6. Gary Palmer (R)	AL
7. Terri Sewell (D)	AL
At-large. Don Young (R)	AK
1. Ann Kirkpatrick (D)	AZ
2. Martha McSally (R)	AZ
3. Raúl Grijalva (D)	AZ
4. Paul Gosar (R)	AZ
5. Matt Salmon (R)	AZ
6. David Schweikert (R)	AZ
7. Ruben Gallego (D)	AZ
8. Trent Franks (R)	AZ
9. Kyrsten Sinema (D)	AZ
1. Rick Crawford (R)	AR
2. French Hill (R)	AR
3. Steve Womack (R)	AR
4. Bruce Westerman (R)	AR
1. Doug LaMalfa (R)	CA
2. Jared Huffman (D)	CA
3. John Garamendi (D)	CA
4. Tom McClintock (R)	CA
5. Mike Thompson (D)	CA
6. Doris Matsui (D)	CA
7. Ami Bera (D)	CA
8. Paul Cook (R)	CA
9. Jerry McNerney (D)	CA
10. Jeff Denham (R)	CA
11. Mark DeSaulnier (D)	CA
12. Nancy Pelosi (D)	CA
13. Barbara Lee (D)	CA
14. Jackie Speier (D)	CA
15. Eric Swalwell (D)	CA
16. Jim Costa (D)	CA
17. Mike Honda (D)	CA
18. Anna Eshoo (D)	CA
19. Zoe Lofgren (D)	CA
20. Sam Farr (D)	CA
21. David Valadao (R)	CA
22. Devin Nunes (R)	CA
23. Kevin McCarthy (R)	CA
24. Lois Capps (D)	CA
25. Steve Knight (R)	CA
26. Julia Brownley (D)	CA
27. Judy Chu (D)	CA
28. Adam Schiff (D)	CA
29. Tony Cardenas (D)	CA
30. Brad Sherman (D)	CA
31. Pete Aguilar (D)	CA
32. Grace Napolitano (D)	CA
33. Ted Lieu (D)	CA
34. Xavier Becerra (D)	CA
35. Norma Torres (D)	CA
36. Raul Ruiz (D)	CA
37. Karen Bass (D)	CA
38. Linda Sánchez (D)	CA
39. Ed Royce (R)	CA
40. Lucille Roybal-Allard (D)	CA
41. Mark Takano (D)	CA
42. Ken Calvert (R)	CA
43. Maxine Waters (D)	CA
44. Janice Hahn (D)	CA
45. Mimi Walters (R)	CA
46. Loretta Sanchez (D)	CA
47. Alan Lowenthal (D)	CA
48. Dana Rohrabacher (R)	CA
49. Darrell Issa (R)	CA
50. Duncan Hunter (R)	CA
51. Juan Vargas (D)	CA
52. Scott Peters (D)	CA
53. Susan Davis (D)	CA
1. Diana DeGette (D)	CO
2. Jared Polis (D)	CO
3. Scott Tipton (R)	CO
4. Ken Buck (R)	CO
5. Doug Lamborn (R)	CO
6. Mike Coffman (R)	CO
7. Ed Perlmutter (D)	CO
1. John Larson (D)	CT
2. Joe Courtney (D)	CT
3. Rosa DeLauro (D)	CT
4. Jim Himes (D)	CT
